,,,,Compound 523,,% Viability,,Compound 536,,% Viability,,Vehicle,,
,,,,10,6271,89.19231248,,10,7162,101.8649884,,,7101,
,,,,1,6922,98.45147297,,1,6991,99.43285864,,,7265,
,,,,0.1,6764,96.204242,,0.1,7330,104.2544491,,,7291,
,,,,1,7327,104.2117802,,1,7201,102.4196846,,,7220,
,,,,,,,,,,,,,6587,
,,,,Compound 528,,,,Compound 527,,,,,6994,
,,,,10,5782,82.23727488,,10,4849,68.96723381,,,6646,
,,,,1,6229,88.59494729,,1,7089,100.8267108,,,7143,
,,,,0.1,7445,105.8900919,,0.1,7035,100.0586698,,,Average,7030.875
,,,,1,6790,96.5740395,,1,6445,91.66711113,,,% Viability,100
,,,,,,,,,,,,,,
,,,,Compound 699,,,,Compound 640,,,,,,
,,,,10,5278,75.06889256,,10,5432,77.2592316,,,,
,,,,1,5956,84.71207353,,1,6857,97.52697922,,,,
,,,,0.1,6532,92.90451046,,0.1,6869,97.69765499,,,,
,,,,1,7311,103.9842125,,1,6909,98.26657422,,,,
,,,,,,,,,,,,,,
,,,,Compound 691,,,,,,,,,,
,,,,10,1702,24.20751329,,10 uM APID1,,,2.5 uM BBQ,,,
,,,,1,6123,87.08731132,,6334,,,6783,,,
,,,,0.1,6116,86.98775046,,6759,,,6349,,,
,,,,1,6886,97.93944566,Average,6546.5,93.11074368,Average,6566,93.38809181,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
G6,632,6334,-/-,,,,,,,,,,,
G7,668,6759,-/-,,,,,,,,,,,
G8,680,6783,-/-,,,,,,,,,,,
G9,633,6349,-/-,,,,,,,,,,,
